AAPL (APPLE INC),186.80,-5.43,
Nov 14 2018 @ 19:12 ET,Bid,186.93,Ask,187.14,Size,1x1,Vol,60747714,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Nov 16 2.50 (AAPL1816K2.5-Y),217.45,0.0,183.70,184.90,0,30,2018 Nov 16 2.50 (AAPL1816W2.5-Y),0.0,0.0,0.0,0.14,0,0,
2018 Nov 16 5.00 (AAPL1816K5),189.65,0.0,181.30,182.30,0,7,2018 Nov 16 5.00 (AAPL1816W5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 5.00 (AAPL1816K5-3),226.85,0.0,173.90,189.90,0,7,2018 Nov 16 5.00 (AAPL1816W5-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 5.00 (AAPL1816K5-4),0.0,0.0,181.25,182.40,0,7,2018 Nov 16 5.00 (AAPL1816W5-4),0.0,0.0,0.0,4.80,0,0,
2018 Nov 16 5.00 (AAPL1816K5-8),223.80,0.0,181.15,182.35, ,7,2018 Nov 16 5.00 (AAPL1816W5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 5.00 (AAPL1816K5-A),0.0,0.0,179.90,184.25,0,7,2018 Nov 16 5.00 (AAPL1816W5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 5.00 (AAPL1816K5-B),0.0,0.0,179.90,184.00, ,7,2018 Nov 16 5.00 (AAPL1816W5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 5.00 (AAPL1816K5-E),189.65,0.0,174.75,189.75, ,7,2018 Nov 16 5.00 (AAPL1816W5-E),0.0,0.0,0.0,9.50, ,0,
2018 Nov 16 5.00 (AAPL1816K5-I),223.50,0.0,181.10,182.50,0,7,2018 Nov 16 5.00 (AAPL1816W5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 5.00 (AAPL1816K5-J),0.0,0.0,179.90,184.15, ,7,2018 Nov 16 5.00 (AAPL1816W5-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 5.00 (AAPL1816K5-K),0.0,0.0,179.90,184.90, ,7,2018 Nov 16 5.00 (AAPL1816W5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 5.00 (AAPL1816K5-O),0.0,0.0,179.90,184.05, ,7,2018 Nov 16 5.00 (AAPL1816W5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 5.00 (AAPL1816K5-OG),0.0,0.0,180.10,184.90,0,7,2018 Nov 16 5.00 (AAPL1816W5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 5.00 (AAPL1816K5-P),226.85,0.0,179.90,183.90,0,7,2018 Nov 16 5.00 (AAPL1816W5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 5.00 (AAPL1816K5-S),226.85,0.0,181.30,182.30, ,7,2018 Nov 16 5.00 (AAPL1816W5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 5.00 (AAPL1816K5-X),203.35,0.0,180.10,184.10, ,7,2018 Nov 16 5.00 (AAPL1816W5-X),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 5.00 (AAPL1816K5-Y),0.0,0.0,181.20,182.45,0,7,2018 Nov 16 5.00 (AAPL1816W5-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5),200.95,0.0,177.25,181.40,0,0,2018 Nov 16 7.50 (AAPL1816W7.5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-3),0.0,0.0,171.40,187.20,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-4),0.0,0.0,176.95,181.55,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-4),0.0,0.0,0.0,4.80,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-8),221.30,0.0,176.85,181.70, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-A),0.0,0.0,176.90,181.70,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-B),0.0,0.0,176.95,181.50, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-E),225.15,0.0,172.25,187.20, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-E),0.0,0.0,0.0,9.55, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-I),0.0,0.0,176.00,183.00,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-J),0.0,0.0,176.75,181.55, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-K),0.0,0.0,177.00,181.70, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-O),0.0,0.0,176.90,181.60, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-OG),0.0,0.0,177.25,181.70,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-P),0.0,0.0,177.00,181.40,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 7.50 (AAPL1816K7.5-S),0.0,0.0,177.05,181.65, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-X),200.95,0.0,176.90,181.60, ,0,2018 Nov 16 7.50 (AAPL1816W7.5-X),0.0,0.0,0.0,4.90, ,0,
2018 Nov 16 7.50 (AAPL1816K7.5-Y),0.0,0.0,172.70,186.60,0,0,2018 Nov 16 7.50 (AAPL1816W7.5-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 10.00 (AAPL1816K10),198.45,0.0,174.45,178.80,0,0,2018 Nov 16 10.00 (AAPL1816W10),0.04,0.0,0.0,0.04,0,1,
2018 Nov 16 10.00 (AAPL1816K10-3),0.0,0.0,168.90,184.80,0,0,2018 Nov 16 10.00 (AAPL1816W10-3),0.0,0.0,0.0,5.00,0,1,
2018 Nov 16 10.00 (AAPL1816K10-4),219.05,0.0,174.35,178.80,0,0,2018 Nov 16 10.00 (AAPL1816W10-4),0.0,0.0,0.0,5.00,0,1,
2018 Nov 16 10.00 (AAPL1816K10-8),218.80,0.0,174.30,179.05, ,0,2018 Nov 16 10.00 (AAPL1816W10-8),0.04,0.0,0.0,4.75, ,1,
2018 Nov 16 10.00 (AAPL1816K10-A),0.0,0.0,174.25,179.00,0,0,2018 Nov 16 10.00 (AAPL1816W10-A),0.0,0.0,0.0,0.04,0,1,
2018 Nov 16 10.00 (AAPL1816K10-B),0.0,0.0,174.15,179.00, ,0,2018 Nov 16 10.00 (AAPL1816W10-B),0.0,0.0,0.0,0.13, ,1,
2018 Nov 16 10.00 (AAPL1816K10-E),220.00,0.0,169.75,184.60, ,0,2018 Nov 16 10.00 (AAPL1816W10-E),0.0,0.0,0.0,10.00, ,1,
2018 Nov 16 10.00 (AAPL1816K10-I),219.05,0.0,174.10,179.10,0,0,2018 Nov 16 10.00 (AAPL1816W10-I),0.0,0.0,0.0,0.04,0,1,
2018 Nov 16 10.00 (AAPL1816K10-J),0.0,0.0,174.25,179.10, ,0,2018 Nov 16 10.00 (AAPL1816W10-J),0.0,0.0,0.0,5.00, ,1,
2018 Nov 16 10.00 (AAPL1816K10-K),0.0,0.0,174.20,179.10, ,0,2018 Nov 16 10.00 (AAPL1816W10-K),0.0,0.0,0.0,5.00, ,1,
2018 Nov 16 10.00 (AAPL1816K10-O),0.0,0.0,174.25,179.10, ,0,2018 Nov 16 10.00 (AAPL1816W10-O),0.0,0.0,0.0,0.04, ,1,
2018 Nov 16 10.00 (AAPL1816K10-OG),0.0,0.0,174.25,179.10,0,0,2018 Nov 16 10.00 (AAPL1816W10-OG),0.0,0.0,0.0,0.13,0,1,
2018 Nov 16 10.00 (AAPL1816K10-P),219.05,0.0,174.40,178.90,0,0,2018 Nov 16 10.00 (AAPL1816W10-P),0.0,0.0,0.0,0.04,0,1,
2018 Nov 16 10.00 (AAPL1816K10-S),0.0,0.0,174.45,179.10, ,0,2018 Nov 16 10.00 (AAPL1816W10-S),0.0,0.0,0.0,0.04, ,1,
2018 Nov 16 10.00 (AAPL1816K10-X),198.45,0.0,174.45,179.10, ,0,2018 Nov 16 10.00 (AAPL1816W10-X),0.0,0.0,0.0,5.00, ,1,
2018 Nov 16 10.00 (AAPL1816K10-Y),0.0,0.0,170.20,183.75,0,0,2018 Nov 16 10.00 (AAPL1816W10-Y),0.0,0.0,0.0,0.04,0,1,
2018 Nov 16 12.50 (AAPL1816K12.5),0.0,0.0,171.90,176.25,0,0,2018 Nov 16 12.50 (AAPL1816W12.5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-3),0.0,0.0,166.40,182.25,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-4),0.0,0.0,171.70,176.25,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-4),0.0,0.0,0.0,4.80,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-8),0.0,0.0,171.85,176.60, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-A),0.0,0.0,171.70,176.65,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-B),0.0,0.0,171.70,176.50, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-E),0.0,0.0,167.25,182.05, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-E),0.0,0.0,0.0,9.55, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-I),0.0,0.0,171.50,176.50,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-J),0.0,0.0,171.70,176.55, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-K),0.0,0.0,171.70,176.50, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-O),0.0,0.0,171.70,176.55, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-OG),0.0,0.0,171.70,176.65,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-P),0.0,0.0,171.90,176.25,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 12.50 (AAPL1816K12.5-S),0.0,0.0,171.80,176.55, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-X),0.0,0.0,171.90,176.60, ,0,2018 Nov 16 12.50 (AAPL1816W12.5-X),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 12.50 (AAPL1816K12.5-Y),0.0,0.0,167.80,181.25,0,0,2018 Nov 16 12.50 (AAPL1816W12.5-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 15.00 (AAPL1816K15),214.05,0.0,169.45,173.90,0,0,2018 Nov 16 15.00 (AAPL1816W15),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 15.00 (AAPL1816K15-3),214.05,0.0,163.90,179.70,0,0,2018 Nov 16 15.00 (AAPL1816W15-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 15.00 (AAPL1816K15-4),0.0,0.0,169.35,174.10,0,0,2018 Nov 16 15.00 (AAPL1816W15-4),0.0,0.0,0.0,4.80,0,0,
2018 Nov 16 15.00 (AAPL1816K15-8),0.0,0.0,169.35,174.10, ,0,2018 Nov 16 15.00 (AAPL1816W15-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 15.00 (AAPL1816K15-A),0.0,0.0,169.35,174.20,0,0,2018 Nov 16 15.00 (AAPL1816W15-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 15.00 (AAPL1816K15-B),0.0,0.0,169.20,174.00, ,0,2018 Nov 16 15.00 (AAPL1816W15-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 15.00 (AAPL1816K15-E),216.55,0.0,164.75,179.60, ,0,2018 Nov 16 15.00 (AAPL1816W15-E),0.0,0.0,0.0,9.55, ,0,
2018 Nov 16 15.00 (AAPL1816K15-I),0.0,0.0,169.25,174.25,0,0,2018 Nov 16 15.00 (AAPL1816W15-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 15.00 (AAPL1816K15-J),0.0,0.0,169.40,174.15, ,0,2018 Nov 16 15.00 (AAPL1816W15-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 15.00 (AAPL1816K15-K),0.0,0.0,169.30,174.20, ,0,2018 Nov 16 15.00 (AAPL1816W15-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 15.00 (AAPL1816K15-O),0.0,0.0,169.25,174.15, ,0,2018 Nov 16 15.00 (AAPL1816W15-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 15.00 (AAPL1816K15-OG),0.0,0.0,169.20,174.15,0,0,2018 Nov 16 15.00 (AAPL1816W15-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 15.00 (AAPL1816K15-P),0.0,0.0,169.40,173.90,0,0,2018 Nov 16 15.00 (AAPL1816W15-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 15.00 (AAPL1816K15-S),0.0,0.0,169.45,174.15, ,0,2018 Nov 16 15.00 (AAPL1816W15-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 15.00 (AAPL1816K15-X),0.0,0.0,169.40,174.10, ,0,2018 Nov 16 15.00 (AAPL1816W15-X),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 15.00 (AAPL1816K15-Y),0.0,0.0,165.30,179.25,0,0,2018 Nov 16 15.00 (AAPL1816W15-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5),0.0,0.0,166.95,171.25,0,0,2018 Nov 16 17.50 (AAPL1816W17.5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-3),0.0,0.0,161.40,177.20,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-4),0.0,0.0,166.70,171.25,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-4),0.0,0.0,0.0,4.75,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-8),0.0,0.0,166.70,171.55, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-A),0.0,0.0,166.70,171.60,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-B),0.0,0.0,166.70,171.50, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-E),0.0,0.0,162.25,177.10, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-E),0.0,0.0,0.0,9.55, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-I),0.0,0.0,166.60,171.60,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-J),0.0,0.0,166.70,171.65, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-K),0.0,0.0,166.70,171.50, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-O),0.0,0.0,166.70,171.55, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-OG),0.0,0.0,166.95,171.70,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-P),0.0,0.0,166.90,171.40,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 17.50 (AAPL1816K17.5-S),0.0,0.0,166.85,171.50, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-X),0.0,0.0,166.90,171.60, ,0,2018 Nov 16 17.50 (AAPL1816W17.5-X),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 17.50 (AAPL1816K17.5-Y),0.0,0.0,162.80,176.35,0,0,2018 Nov 16 17.50 (AAPL1816W17.5-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 20.00 (AAPL1816K20),0.0,0.0,164.45,168.90,0,0,2018 Nov 16 20.00 (AAPL1816W20),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 20.00 (AAPL1816K20-3),0.0,0.0,158.90,174.85,0,0,2018 Nov 16 20.00 (AAPL1816W20-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 20.00 (AAPL1816K20-4),0.0,0.0,164.30,169.05,0,0,2018 Nov 16 20.00 (AAPL1816W20-4),0.0,0.0,0.0,4.75,0,0,
2018 Nov 16 20.00 (AAPL1816K20-8),0.0,0.0,164.20,169.15, ,0,2018 Nov 16 20.00 (AAPL1816W20-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 20.00 (AAPL1816K20-A),0.0,0.0,164.20,169.05,0,0,2018 Nov 16 20.00 (AAPL1816W20-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 20.00 (AAPL1816K20-B),0.0,0.0,164.20,169.00, ,0,2018 Nov 16 20.00 (AAPL1816W20-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 20.00 (AAPL1816K20-E),0.0,0.0,159.75,174.60, ,0,2018 Nov 16 20.00 (AAPL1816W20-E),0.0,0.0,0.0,10.00, ,0,
2018 Nov 16 20.00 (AAPL1816K20-I),0.0,0.0,164.25,169.25,0,0,2018 Nov 16 20.00 (AAPL1816W20-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 20.00 (AAPL1816K20-J),0.0,0.0,164.20,169.05, ,0,2018 Nov 16 20.00 (AAPL1816W20-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 20.00 (AAPL1816K20-K),0.0,0.0,164.30,169.20, ,0,2018 Nov 16 20.00 (AAPL1816W20-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 20.00 (AAPL1816K20-O),0.0,0.0,164.20,169.15, ,0,2018 Nov 16 20.00 (AAPL1816W20-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 20.00 (AAPL1816K20-OG),0.0,0.0,164.45,169.20,0,0,2018 Nov 16 20.00 (AAPL1816W20-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 20.00 (AAPL1816K20-P),0.0,0.0,164.40,168.90,0,0,2018 Nov 16 20.00 (AAPL1816W20-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 20.00 (AAPL1816K20-S),0.0,0.0,164.40,169.10, ,0,2018 Nov 16 20.00 (AAPL1816W20-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 20.00 (AAPL1816K20-X),0.0,0.0,164.20,169.10, ,0,2018 Nov 16 20.00 (AAPL1816W20-X),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 20.00 (AAPL1816K20-Y),0.0,0.0,160.25,174.00,0,0,2018 Nov 16 20.00 (AAPL1816W20-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5),185.80,0.0,161.95,166.45,0,0,2018 Nov 16 22.50 (AAPL1816W22.5),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-3),0.0,0.0,156.40,172.20,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-3),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-4),0.0,0.0,161.95,166.60,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-4),0.0,0.0,0.0,4.75,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-8),196.57,0.0,161.75,166.65, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-8),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-A),196.56,0.0,161.75,166.60,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-A),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-B),0.0,0.0,161.80,166.50, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-B),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-E),198.45,0.0,157.25,172.10, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-E),0.0,0.0,0.0,10.00, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-I),197.70,0.0,161.80,166.80,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-I),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-J),0.0,0.0,161.90,166.60, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-J),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-K),0.0,0.0,161.75,166.70, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-K),0.0,0.0,0.0,5.00, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-O),0.0,0.0,161.80,166.70, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-O),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-OG),0.0,0.0,161.95,166.75,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-OG),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-P),0.0,0.0,161.90,166.45,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-P),0.0,0.0,0.0,0.13,0,0,
2018 Nov 16 22.50 (AAPL1816K22.5-S),0.0,0.0,161.90,166.45, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-S),0.0,0.0,0.0,0.13, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-X),185.80,0.0,161.90,166.60, ,0,2018 Nov 16 22.50 (AAPL1816W22.5-X),0.0,0.0,0.0,4.90, ,0,
2018 Nov 16 22.50 (AAPL1816K22.5-Y),0.0,0.0,157.75,171.35,0,0,2018 Nov 16 22.50 (AAPL1816W22.5-Y),0.0,0.0,0.0,5.00,0,0,
2018 Nov 16 25.00 (AAPL1816K25),169.65,0.0,161.35,162.20,0,23,2018 Nov 16 25.00 (AAPL1816W25),0.04,0.0,0.0,0.04,0,4,
2018 Nov 16 25.00 (AAPL1816K25-3),0.0,0.0,153.85,169.80,0,23,2018 Nov 16 25.00 (AAPL1816W25-3),0.0,0.0,0.0,5.00,0,4,
2018 Nov 16 25.00 (AAPL1816K25-4),0.0,0.0,161.35,162.30,0,23,2018 Nov 16 25.00 (AAPL1816W25-4),0.0,0.0,0.0,5.00,0,4,
